id	verdict	narrative_verdict	physical_pages	source_module	reason
e1e6ab3a-aa2d-427a-b9f0-c0efb9354cee	supported	supported	9	agent:ways_out_analysis	Paragraph17 expressly records filing in own right and on behalf of two children. Historical filing fact, not a future route.
1cc389ec-a45a-479b-abd7-50e94b4590c3	supported	supported	9,53	agent:ways_out_analysis	Paragraph17 identifies Quinta Sala Familiar as issuer of the challenged judgment; final dispositive agrees.
cb76b1da-4b66-431f-b903-33bd00344808	insufficient	insufficient	14,51,52	agent:ways_out_analysis	A heading about the constitutional challenge does not establish a due-process violation. Final paragraph129 rejects unconstitutional differential treatment while requiring a special evidentiary presumption. Must distinguish the rule from its application and an already-decided issue from a future route.
7b38a8d2-722e-4b0a-b150-7c48ad1c1e3f	insufficient	supported	15,16,51	agent:ways_out_analysis	The Colegiado did criticize employment-based denial as discriminatory. A present potential avenue and the precise constitutional hook are not established by this isolated historical quotation; identify the lower-court ruling and final correction.
beeb2e17-f6a9-4b9f-902f-72dc5e4b41b9	insufficient	supported	12,13,15,16	agent:ways_out_analysis	Colegiado criticism of excluding violence damages is supported. The additional SCJN-jurisprudence assertion is supplied as claimant argument citing ADR5490/2016, not independently verified precedent, and the issue was already adjudicated below.
0e71a5e4-ff6a-4209-9814-a8522006f5ba	contradicted	contradicted	18	agent:ways_out_analysis	Timely filing is supported, but the description calls the deadline constitutionally established. The source expressly calculates the deadline under article86 of Ley de Amparo, not a constitutional deadline. Correct that qualifier; do not discard the timeliness finding.
5b70e328-4f68-42b9-a8c1-8edf514a3226	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
aeefcc8c-f21a-4204-9e46-f19983d08b59	supported	supported	19	agent:ways_out_analysis	Paragraph33 expressly recognizes standing of recurrente and recurrente adhesivo.
07e6f4c1-f8db-4707-937b-26dc95e296c2	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
ad3b3d68-30dc-49e0-bdaf-2060e99b17cc	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
874781e6-753a-4fe6-80a6-d346ef2de692	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
79bb1a85-7a0e-4268-acb8-37bc0da1c9ea	insufficient	insufficient	5,6,51	agent:child_support_calculation	Paragraph9 records a request for child maintenance; requesting relief does not prove economic need. Legal significance also treats this as determining an amount of amparo, whereas the final ADR addresses the ex-wife's compensatory rights and evidentiary rule.
9d259029-0380-4319-aa07-659345beefdb	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
c705ff87-7cf0-4646-aa1e-80958c00d615	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
915f7efd-8e0a-4cd9-a191-187c4de6b80f	insufficient	insufficient	6,7	agent:custody_best_interest_analysis	Agreed residences are documented. Stability, suitability, and a prospective custody advantage do not follow merely from an address; settlement already addressed residence/custody.
904a34f1-2802-4883-ae7d-f6cb611afe44	insufficient	insufficient	6,7	agent:custody_best_interest_analysis	Therapy commitment is supported; resources, actual capacity, compliance, and a custody advantage are not proved by a promise.
89a74c70-14bd-4688-acae-abba007030db	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
ce367274-0f97-4335-85b2-ecc273057208	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
8350bbc5-1975-45e7-bd0c-a1fbb815ad6a	insufficient	insufficient	4,6,7	agent:custody_best_interest_analysis	Fourteen years of care are supported. High quality/capacity of care and a prospective primary-custody advantage require separate evidence; custody was already settled.
324eaf6f-b43d-44bc-ab27-5f22e6d0a790	insufficient	insufficient	4,6,7	agent:custody_best_interest_analysis	Full-time employment is supported. Possible availability limits are a tentative inference, not proved parenting incapacity or a current basis for reallocating custody.
84692137-4944-45c8-9193-b6a7c4c87792	insufficient	insufficient	4,6	agent:custody_best_interest_analysis	Parentage and two children are supported. Parentage alone does not establish an affectionate bond with each parent; the record also describes therapy to restore the maternal relationship.
62f6cb0b-f124-4259-8f45-9da20b88ea3d	contradicted	contradicted	4,6,7	agent:custody_best_interest_analysis	The2017 nondecision is historical. Later2018 settlement resolved custody/visits and was approved; presenting ongoing uncertainty until a settlement and recommending that settlement ignores subsequent events.
99b8d50d-4fef-4e61-9126-55bb2adeebf7	contradicted	supported	6,7,9	agent:witness_credibility	Agreement by the male appellate party is supported. metadata.raw attributes him to quejoso, but the principal constitutional claimant is the woman and the man is the third interested/adhesive party. The added prospective custody advantage is unsupported in this final ADR.
cea6f49a-4554-411f-9cbe-da7a9d82a223	contradicted	supported	6,9	agent:witness_credibility	Therapy promise and joint choice of therapist are supported. metadata.raw speaker_role=quejoso misidentifies the male obligor as the principal female claimant. Preserve the promise as historical fact with correct party attribution.
ad8ae0eb-1d19-4b9d-9b27-904e5837d700	contradicted	supported	6,9	agent:witness_credibility	Bedroom-purchase promise is supported. metadata.raw speaker_role=quejoso misidentifies the male obligor; a promise also is not evidence of fulfilled payment or financial means.
765c36c1-0e2a-43f3-8b3e-44bd2d1c868e	insufficient	supported	1,19	agent:witness_credibility	Standing is expressly supported. Additional assertion that this avoids nullity is not established in the cited standing ruling; retain the standing finding without an invented procedural consequence.
33346625-9fb0-4305-92d7-0133522c7852	supported	supported	3,4	agent:witness_credibility	Date appears onp3 and separation-of-property regime continues onp4; second evidence_ref covers the continuation. Supported historical fact.
d0b12f45-8e4e-4a1c-b9a1-e328dc8ff650	supported	supported	4	agent:witness_credibility	Judgment records two children S.andP. Treat as historical family composition, not an independent new custody determination.
0740ec89-48a0-42fe-88bc-82399cb6907a	supported	supported	4,7	agent:witness_credibility	Paragraph4 records the20June2017 provisional support order. It is a dated historical event; p7 later terminates provisional measures, so it must not be displayed as still operative.
68b597c9-9488-4c8a-b0ae-2ba762805906	insufficient	supported	4,6,7	agent:witness_credibility	Dated2017 nondecision is accurate. Legal-significance/impact language about issues remaining pending is stale unless explicitly confined to2017; subsequent settlement is documented.
1b1cce00-320f-464d-b58d-418752539b40	contradicted	supported	6,7	agent:witness_credibility	Agreement received judgment-like enforceability. metadata.raw wrongly attributes it to Tribunal Colegiado instead of Quinta Sala Familiar. The added absolute bar to later challenge is not established; source expressly reserves article94.
2f098c6f-f759-43d4-ab94-e9013a18591f	contradicted	supported	6,7	agent:witness_credibility	Ending provisional measures is supported, but metadata.raw attributes Quinta Sala's act to Tribunal Colegiado. Claim that parties were left without protection omits the replacement settlement and continuing spousal-support proceedings.
72036192-6780-47fe-929f-4280dbef3823	insufficient	supported	9,10,51,52	agent:witness_credibility	Description correctly reports claimant's constitutional argument, including cited constitutional articles onp10. Suggested future nullity/reform of CPC281/282 is ungrounded for a final ADR whose paragraph129 rejects unconstitutional differential treatment.
554435a8-b63c-4ed3-a546-e4d93f37dbda	supported	supported	10,51,52	agent:witness_credibility	Accurately attributed claimant argument about unequal family litigation burdens; tentative reinterpretation is consistent with the final special-presumption ruling. Not itself proof that the statutes were invalidated.
d0f83660-60a5-4212-b59b-0c0a79a215ec	contradicted	supported	11	agent:witness_credibility	Description accurately attributes the complaint. Title changes the outcome to insufficient alimony, but source says alimony was denied and the inadequate amount concerned economic compensation. Correct title and retain party-argument attribution.
f565e792-3880-4053-9318-8ccb7555da74	insufficient	supported	11,15,16	agent:witness_credibility	Description accurately reports claimant's allegation. Predicted partial nullity is not established by the quotation and must not be presented as an available future route after final review.
045f6671-9989-432e-93bb-3e3ba964d058	supported	supported	11,51	agent:witness_credibility	Accurately attributed claimant argument about income/living-standard analysis. Potential reconsideration is conditional and consistent with the final instruction to apply the special presumption; no specific new amount is proved.
55de875f-da14-41c2-8c22-64ff5ae66248	insufficient	supported	15,16,51,52	agent:witness_credibility	Colegiado's criticism is supported. metadata.raw rejected_holding/rejected is not established for this precise proposition: final review corrects the burden rule, not every lower-court observation. Do not infer blanket rejection from modification of judgment.
3ade38df-56e3-4ca6-9465-0cb5f59d8906	insufficient	supported	15,16,52	agent:witness_credibility	Colegiado's criticism of excluding damages is supported. metadata.raw rejected_holding/rejected is not demonstrated; adhesive objections are inoperative, and compensation and violence damages should remain distinct.
9f702c12-6243-40f6-a271-fb731700f86f	supported	supported	2,53	decision_core	FinalSCJN dispositiveTERCERO expressly finds adhesive review unfounded. Stored source_page is missing; bind to physicalp53 before automated certification. Semantically supported, not fabricated.
934f96d0-4c93-4c50-9514-a8123e20b91d	insufficient	insufficient	9,11,12	agent:witness_credibility	Source is itemV of claimant's concepts of violation, with 'argumento' and 'A su juicio'. Finding omits attribution and metadata.raw calls it an adopted Tribunal Colegiado fact. Citation proves allegation, not the asserted judicial determination.
58a633a1-778f-4695-b6e8-1b86cfb4dade	supported	supported	13	agent:witness_credibility	Paragraph20 records Segundo Colegiado declining competence and identifying Tercer Colegiado; following paragraph records acceptance. Historical procedural event.
aaded2fe-3272-4128-86b0-8db55d934b1b	supported	supported	13	agent:witness_credibility	Paragraph21 expressly records Tercer Colegiado accepting competence and docketing the amparos. Historical procedural event, not an outstanding step.
207fc2df-9b44-4f01-9a8e-466dbbf57cf7	supported	supported	13,53	agent:witness_credibility	Paragraph22 expressly describes Tercer Colegiado granting amparo to vacate the February2022 ruling. FinalSCJN also grants protection while modifying reasoning; preserve lower-court historical attribution.
67227213-e258-4566-8335-6ee818b196ce	insufficient	supported	13,14,51,52	agent:witness_credibility	25percent is the Colegiado's historical award. metadata.raw adopted and present-tense definitive patrimonial entitlement are not established as the final amount after SCJN ordered modification under a different evidentiary rule.
602bc6b1-42d9-4d36-8070-b4023cd3760d	insufficient	supported	13,14,52	agent:witness_credibility	Colegiado's damages order and deferred quantification are supported. metadata.raw final adoption is not independently established by the historical paragraph; retain as lower-court order without implying a quantified final SCJN award.
7c7a71a2-6adb-4c9b-ab11-0dffd50aa6e7	insufficient	supported	20,51,52	agent:witness_credibility	Claimant's challenge is supported. Possible legislative reform/current future relief is not established by the record; final decision already supplies the controlling interpretive answer.
ca1c964c-c061-4c90-9145-8ce7e4766030	supported	supported	14,20,51,52	agent:witness_credibility	Colegiado's historical constitutional position is accurately attributed; SCJN preserves constitutionality but corrects its discretionary-presumption interpretation.
18f212bf-05b1-47a1-9211-81e86f1bccc4	supported	supported	19	agent:witness_credibility	Paragraph34 expressly finds review admissible and warrants merits analysis.
3032b8e9-f8d5-4b72-8bdc-b97ab5158d18	contradicted	contradicted	17,51,52,53	agent:witness_credibility	Paragraphs26-27 recount recurrente demands, not an SCJN award. Row turns requested10-to20percent into ordered relief and changes40percent OR50percent to40-to50percent. metadata.raw adopted SCJN holding and asserted increased obligation are false attribution/consequence.
f7980b95-4649-44c2-91fa-7ab5e32a4827	insufficient	insufficient	9,11,12	agent:domestic_violence_assessment	The quoted text begins itemIV with 'Alego que'. It proves claimant alleged missing gender methodology, not a verified adjudicated fact. Reattribute instead of declaring allegation false.
77116297-db77-411f-97ea-3dbfedf0b502	supported	supported	2,53	decision_core	FinalSCJN dispositivePRIMERO expressly modifies reviewed judgment within scope of review. Stored source_page missing; bind to physicalp53 before automated certification.
17bf475f-b960-464e-8309-738393a797cb	insufficient	supported	11,51,52	agent:domestic_violence_assessment	A statement about differential burden is recorded as claimant argument. Passive wording and metadata.raw VERIFIED_FACT obscure that status; distinguish reported allegation from accepted final rule and note final constitutionality result.
ad1b3d59-a8c8-4367-bbc8-6bf99d30e41c	contradicted	contradicted	14,20,52	agent:domestic_violence_assessment	Exact quote truncates immediately before 'no contienen el vicio de inconstitucionalidad'. Row reverses that negation; final paragraph129 likewise rejects unjustified differential statutory treatment.
c5b5626c-42a1-42af-a0bf-42a2c662827a	insufficient	supported	15,16,52	agent:domestic_violence_assessment	Historical Colegiado finding of emotional violence is supported. Specific LGAMVLV classification, future protection order, and custody consequences are not established by this source passage or final ADR disposition.
8e73b7a2-adc2-45e8-9be1-078a0c495f98	contradicted	supported_as_history_only	7,8,9,13,14,51,52,53	decision_core	Historical2019 first-instance absolutions are real, but this mandatory DISPOSITION/adopted RESULTADO treats them as the reviewed final result. FinalSCJN modifies judgment and grants amparo atp53. Same mandatorycore ID appears nine times: eight excess duplicates, not nine independent substantive errors.
f9218ed6-825b-4265-9a4e-2bb31e6e0c3e	contradicted	contradicted	5	agent:child_support_calculation	Paragraph9 records man's request for declaration that spouse has no compensation right; paragraph10 records woman's50percent request. Row assigns that request to male defendant, reversing the requesting party.
dbe4cfc2-993b-4d14-9d6c-5386a19d5107	insufficient	insufficient	6,7	agent:child_support_calculation	Agreement to cover all child expenses is documented. Calling that short phrase a complete calculation formula or basis for a new amount omits scope/details and already-approved settlement.
a0a90e7a-92ea-4e68-b5c8-868c4beb51cd	insufficient	insufficient	4,5,11,12	agent:child_support_calculation	An excerpt about valuation does not prove document-wide absence of financial data. Source includes work history, property context and claimed315000peso debts; actual quantified income proof may still be missing. Phrase as a bounded evidence gap, not categorical absence.
9e60cb4d-be3b-40ea-a5c7-fe96d4034aa7	insufficient	insufficient	11,51	agent:child_support_calculation	The no-evidence assertion is introduced by 'senalo que' as claimant argument. It does not establish that the entire record lacks debtor capacity evidence; final judgment addresses presumptions/burden allocation.
144060eb-ddef-46b1-9513-b68e03ac5d51	contradicted	supported	4,6,13,51	agent:child_support_calculation	Caregiving history and presumptive spousal need are supported by final reasoning. Added impact shifts relief to children and legal significance invokes federal civil code without support, whereas this record concerns the ex-wife's compensatory rights under local family proceedings.
a1f40e13-ddd9-4f20-a9dc-27d58032ece5	insufficient	insufficient	4	agent:child_support_calculation	Historical full-time work is supported; current financial capacity, amount available, and justification for higher support are not proved by employment alone.
91e7d329-9297-4482-9eae-8437c7990d52	contradicted	supported	9,13,14,51,52	agent:child_support_calculation	5percent in February2022 is accurate history. Added significance/impact makes it the applicable present payment criterion, though the Colegiado later set25percent and SCJN ordered modification. Preserve chronology, not obsolete governing percentage.
c58ed135-f2f9-4848-8b95-b8eee1b11b57	insufficient	insufficient	12,13,14,15,16,51	agent:child_support_calculation	Citedp12 is claimant argument invoking another precedent, not the asserted case-specific judicial recognition. TC recognition exists elsewhere pp15-16 and10percent award pp13-14; repair attribution/citations and avoid definitive final percentage.
2460cda6-5aa2-4345-a726-6115f51c1213	insufficient	supported	13,14,51,52	agent:child_support_calculation	Historical Colegiado10percent support/25percent compensation are supported acrosspp13-14. Additional definitive current-amount language omits final modification; not an independently verified final SCJN amount.
33406c53-4a58-4f6e-a0aa-21ac90766812	supported	supported	17	agent:child_support_calculation	Correctly says recurrente requested10-to20percent. Keep the impact as requested/potential relief, never an award; contrasts with false3032b8e9.
42f41a43-0d8f-4304-b761-16d8d89d9e26	supported	supported	20,51,52	agent:child_support_calculation	Accurately describes claimant's constitutional challenge and resulting evidentiary-standard issue; no assertion of statutory invalidation.
869d561c-38de-4954-94d7-312a68025e36	supported	supported	6,7,52	agent:ways_out_analysis	Paragraph11 records the partial settlement and remaining spousal support/compensation issues. Historical scope is supported; children support already settled.
c24e1e50-7b26-466e-9192-ae7ea10da4a6	insufficient	insufficient	4,6,7,53	agent:ways_out_analysis	Possible new visitation incident is based on2017 omission despite later2018 visitation settlement. No new breach/change requiring a fresh incident is shown. Unsupported current recommendation, not proof no route could ever exist.
